_id,userId,correct.answers,ms,timestamp,response_ms,symbol,trial,response_ms_med,response_ms_sd,sup_line,inf_line,distract_points
tWRagcPwpJjwNo6hu,eobt3CosDzEtxWW5P,32,1.0,2017-05-31 18:12:55.637,5666.0,mult,29,2386.0,663.6751885085198,3713.3503770170396,1058.6496229829604,1
tWRagcPwpJjwNo6hu,eobt3CosDzEtxWW5P,32,1.0,2017-05-31 18:12:55.637,2319.0,inf,30,2386.0,663.6751885085198,3713.3503770170396,1058.6496229829604,0
tWRagcPwpJjwNo6hu,eobt3CosDzEtxWW5P,32,1.0,2017-05-31 18:12:55.637,2280.0,hamburger,31,2386.0,663.6751885085198,3713.3503770170396,1058.6496229829604,0
SwbygYuzqAFwNznAD,qs5XkSepn4qjBpzck,33,0.0,2017-06-01 10:05:28.466,2673.0,triangle,1,2432.5,502.5068924690813,3437.5137849381626,1427.4862150618374,0
SwbygYuzqAFwNznAD,qs5XkSepn4qjBpzck,33,0.0,2017-06-01 10:05:28.466,2548.0,plus,2,2432.5,502.5068924690813,3437.5137849381626,1427.4862150618374,0
SwbygYuzqAFwNznAD,qs5XkSepn4qjBpzck,33,0.0,2017-06-01 10:05:28.466,2712.0,triangle,3,2432.5,502.5068924690813,3437.5137849381626,1427.4862150618374,0
SwbygYuzqAFwNznAD,qs5XkSepn4qjBpzck,33,0.0,2017-06-01 10:05:28.466,2168.0,window,4,2432.5,502.5068924690813,3437.5137849381626,1427.4862150618374,0
SwbygYuzqAFwNznAD,qs5XkSepn4qjBpzck,33,0.0,2017-06-01 10:05:28.466,2211.0,hamburger,5,2432.5,502.5068924690813,3437.5137849381626,1427.4862150618374,0
SwbygYuzqAFwNznAD,qs5XkSepn4qjBpzck,33,0.0,2017-06-01 10:05:28.466,2691.0,plus,6,2432.5,502.5068924690813,3437.5137849381626,1427.4862150618374,0
SwbygYuzqAFwNznAD,qs5XkSepn4qjBpzck,33,0.0,2017-06-01 10:05:28.466,2003.0,circle,7,2432.5,502.5068924690813,3437.5137849381626,1427.4862150618374,0
SwbygYuzqAFwNznAD,qs5XkSepn4qjBpzck,33,0.0,2017-06-01 10:05:28.466,1561.0,window,8,2432.5,502.5068924690813,3437.5137849381626,1427.4862150618374,0
SwbygYuzqAFwNznAD,qs5XkSepn4qjBpzck,33,0.0,2017-06-01 10:05:28.466,2685.0,mult,9,2432.5,502.5068924690813,3437.5137849381626,1427.4862150618374,0
SwbygYuzqAFwNznAD,qs5XkSepn4qjBpzck,33,0.0,2017-06-01 10:05:28.466,2949.0,circle,10,2432.5,502.5068924690813,3437.5137849381626,1427.4862150618374,0
SwbygYuzqAFwNznAD,qs5XkSepn4qjBpzck,33,0.0,2017-06-01 10:05:28.466,2498.0,mult,11,2432.5,502.5068924690813,3437.5137849381626,1427.4862150618374,0
SwbygYuzqAFwNznAD,qs5XkSepn4qjBpzck,33,0.0,2017-06-01 10:05:28.466,3120.0,hamburger,12,2432.5,502.5068924690813,3437.5137849381626,1427.4862150618374,0
SwbygYuzqAFwNznAD,qs5XkSepn4qjBpzck,33,0.0,2017-06-01 10:05:28.466,2193.0,inf,13,2432.5,502.5068924690813,3437.5137849381626,1427.4862150618374,0
SwbygYuzqAFwNznAD,qs5XkSepn4qjBpzck,33,0.0,2017-06-01 10:05:28.466,2891.0,star,14,2432.5,502.5068924690813,3437.5137849381626,1427.4862150618374,0
SwbygYuzqAFwNznAD,qs5XkSepn4qjBpzck,33,0.0,2017-06-01 10:05:28.466,2260.0,window,15,2432.5,502.5068924690813,3437.5137849381626,1427.4862150618374,0
SwbygYuzqAFwNznAD,qs5XkSepn4qjBpzck,33,0.0,2017-06-01 10:05:28.466,2220.0,plus,16,2432.5,502.5068924690813,3437.5137849381626,1427.4862150618374,0
SwbygYuzqAFwNznAD,qs5XkSepn4qjBpzck,33,0.0,2017-06-01 10:05:28.466,2367.0,triangle,17,2432.5,502.5068924690813,3437.5137849381626,1427.4862150618374,0
SwbygYuzqAFwNznAD,qs5XkSepn4qjBpzck,33,0.0,2017-06-01 10:05:28.466,2841.0,star,18,2432.5,502.5068924690813,3437.5137849381626,1427.4862150618374,0
SwbygYuzqAFwNznAD,qs5XkSepn4qjBpzck,33,0.0,2017-06-01 10:05:28.466,2043.0,mult,19,2432.5,502.5068924690813,3437.5137849381626,1427.4862150618374,0
SwbygYuzqAFwNznAD,qs5XkSepn4qjBpzck,33,0.0,2017-06-01 10:05:28.466,1803.0,circle,20,2432.5,502.5068924690813,3437.5137849381626,1427.4862150618374,0
SwbygYuzqAFwNznAD,qs5XkSepn4qjBpzck,33,0.0,2017-06-01 10:05:28.466,2655.0,mult,21,2432.5,502.5068924690813,3437.5137849381626,1427.4862150618374,0
SwbygYuzqAFwNznAD,qs5XkSepn4qjBpzck,33,0.0,2017-06-01 10:05:28.466,1626.0,circle,22,2432.5,502.5068924690813,3437.5137849381626,1427.4862150618374,0
SwbygYuzqAFwNznAD,qs5XkSepn4qjBpzck,33,0.0,2017-06-01 10:05:28.466,1906.0,star,23,2432.5,502.5068924690813,3437.5137849381626,1427.4862150618374,0
SwbygYuzqAFwNznAD,qs5XkSepn4qjBpzck,33,0.0,2017-06-01 10:05:28.466,1686.0,triangle,24,2432.5,502.5068924690813,3437.5137849381626,1427.4862150618374,0
SwbygYuzqAFwNznAD,qs5XkSepn4qjBpzck,33,0.0,2017-06-01 10:05:28.466,2301.0,square,25,2432.5,502.5068924690813,3437.5137849381626,1427.4862150618374,0
SwbygYuzqAFwNznAD,qs5XkSepn4qjBpzck,33,0.0,2017-06-01 10:05:28.466,2990.0,mult,26,2432.5,502.5068924690813,3437.5137849381626,1427.4862150618374,0
SwbygYuzqAFwNznAD,qs5XkSepn4qjBpzck,33,0.0,2017-06-01 10:05:28.466,2038.0,triangle,27,2432.5,502.5068924690813,3437.5137849381626,1427.4862150618374,0
SwbygYuzqAFwNznAD,qs5XkSepn4qjBpzck,33,0.0,2017-06-01 10:05:28.466,1518.0,window,28,2432.5,502.5068924690813,3437.5137849381626,1427.4862150618374,0
SwbygYuzqAFwNznAD,qs5XkSepn4qjBpzck,33,0.0,2017-06-01 10:05:28.466,2816.0,plus,29,2432.5,502.5068924690813,3437.5137849381626,1427.4862150618374,0
SwbygYuzqAFwNznAD,qs5XkSepn4qjBpzck,33,0.0,2017-06-01 10:05:28.466,3222.0,circle,30,2432.5,502.5068924690813,3437.5137849381626,1427.4862150618374,0
SwbygYuzqAFwNznAD,qs5XkSepn4qjBpzck,33,0.0,2017-06-01 10:05:28.466,1745.0,triangle,31,2432.5,502.5068924690813,3437.5137849381626,1427.4862150618374,0
SwbygYuzqAFwNznAD,qs5XkSepn4qjBpzck,33,0.0,2017-06-01 10:05:28.466,3358.0,plus,32,2432.5,502.5068924690813,3437.5137849381626,1427.4862150618374,0
SwbygYuzqAFwNznAD,qs5XkSepn4qjBpzck,33,0.0,2017-06-01 10:05:28.466,3871.0,triangle,33,2432.5,502.5068924690813,3437.5137849381626,1427.4862150618374,1
SwbygYuzqAFwNznAD,qs5XkSepn4qjBpzck,33,0.0,2017-06-01 10:05:28.466,2524.0,plus,34,2432.5,502.5068924690813,3437.5137849381626,1427.4862150618374,0
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1.0,2017-06-01 10:18:49.461,2392.0,circle,1,2051.0,663.6751885085198,3378.3503770170396,723.6496229829604,0
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1.0,2017-06-01 10:18:49.461,3857.0,square,2,2051.0,663.6751885085198,3378.3503770170396,723.6496229829604,1
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1.0,2017-06-01 10:18:49.461,2695.0,mult,3,2051.0,663.6751885085198,3378.3503770170396,723.6496229829604,0
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1.0,2017-06-01 10:18:49.461,2058.0,circle,4,2051.0,663.6751885085198,3378.3503770170396,723.6496229829604,0
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1.0,2017-06-01 10:18:49.461,2101.0,star,5,2051.0,663.6751885085198,3378.3503770170396,723.6496229829604,0
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1.0,2017-06-01 10:18:49.461,1854.0,circle,6,2051.0,663.6751885085198,3378.3503770170396,723.6496229829604,0
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1.0,2017-06-01 10:18:49.461,2280.0,plus,7,2051.0,663.6751885085198,3378.3503770170396,723.6496229829604,0
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1.0,2017-06-01 10:18:49.461,1953.0,inf,8,2051.0,663.6751885085198,3378.3503770170396,723.6496229829604,0
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1.0,2017-06-01 10:18:49.461,2188.0,hamburger,9,2051.0,663.6751885085198,3378.3503770170396,723.6496229829604,0
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1.0,2017-06-01 10:18:49.461,1994.0,plus,10,2051.0,663.6751885085198,3378.3503770170396,723.6496229829604,0
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1.0,2017-06-01 10:18:49.461,2210.0,star,11,2051.0,663.6751885085198,3378.3503770170396,723.6496229829604,0
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1.0,2017-06-01 10:18:49.461,2534.0,window,12,2051.0,663.6751885085198,3378.3503770170396,723.6496229829604,0
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1.0,2017-06-01 10:18:49.461,2139.0,plus,13,2051.0,663.6751885085198,3378.3503770170396,723.6496229829604,0
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1.0,2017-06-01 10:18:49.461,3005.0,star,14,2051.0,663.6751885085198,3378.3503770170396,723.6496229829604,0
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1.0,2017-06-01 10:18:49.461,2456.0,plus,15,2051.0,663.6751885085198,3378.3503770170396,723.6496229829604,0
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1.0,2017-06-01 10:18:49.461,1594.0,square,16,2051.0,663.6751885085198,3378.3503770170396,723.6496229829604,0
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1.0,2017-06-01 10:18:49.461,1860.0,plus,17,2051.0,663.6751885085198,3378.3503770170396,723.6496229829604,0
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1.0,2017-06-01 10:18:49.461,2244.0,triangle,18,2051.0,663.6751885085198,3378.3503770170396,723.6496229829604,0
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1.0,2017-06-01 10:18:49.461,1918.0,hamburger,19,2051.0,663.6751885085198,3378.3503770170396,723.6496229829604,0
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1.0,2017-06-01 10:18:49.461,1849.0,inf,20,2051.0,663.6751885085198,3378.3503770170396,723.6496229829604,0
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1.0,2017-06-01 10:18:49.461,1819.0,window,21,2051.0,663.6751885085198,3378.3503770170396,723.6496229829604,0
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1.0,2017-06-01 10:18:49.461,1611.0,hamburger,22,2051.0,663.6751885085198,3378.3503770170396,723.6496229829604,0
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1.0,2017-06-01 10:18:49.461,1529.0,square,23,2051.0,663.6751885085198,3378.3503770170396,723.6496229829604,0
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1.0,2017-06-01 10:18:49.461,3463.0,circle,24,2051.0,663.6751885085198,3378.3503770170396,723.6496229829604,1
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1.0,2017-06-01 10:18:49.461,2191.0,inf,25,2051.0,663.6751885085198,3378.3503770170396,723.6496229829604,0
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1.0,2017-06-01 10:18:49.461,2044.0,triangle,26,2051.0,663.6751885085198,3378.3503770170396,723.6496229829604,0
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1.0,2017-06-01 10:18:49.461,2559.0,star,27,2051.0,663.6751885085198,3378.3503770170396,723.6496229829604,0
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1.0,2017-06-01 10:18:49.461,1689.0,square,28,2051.0,663.6751885085198,3378.3503770170396,723.6496229829604,0
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1.0,2017-06-01 10:18:49.461,1878.0,inf,29,2051.0,663.6751885085198,3378.3503770170396,723.6496229829604,0
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1.0,2017-06-01 10:18:49.461,1527.0,hamburger,30,2051.0,663.6751885085198,3378.3503770170396,723.6496229829604,0
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1.0,2017-06-01 10:18:49.461,2993.0,star,31,2051.0,663.6751885085198,3378.3503770170396,723.6496229829604,0
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1.0,2017-06-01 10:18:49.461,1676.0,inf,32,2051.0,663.6751885085198,3378.3503770170396,723.6496229829604,0
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1.0,2017-06-01 10:18:49.461,2118.0,window,33,2051.0,663.6751885085198,3378.3503770170396,723.6496229829604,0
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1.0,2017-06-01 10:18:49.461,3016.0,star,34,2051.0,663.6751885085198,3378.3503770170396,723.6496229829604,0
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1.0,2017-06-01 10:18:49.461,1990.0,triangle,35,2051.0,663.6751885085198,3378.3503770170396,723.6496229829604,0
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1.0,2017-06-01 10:18:49.461,1497.0,circle,36,2051.0,663.6751885085198,3378.3503770170396,723.6496229829604,0
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1.0,2017-06-01 10:18:49.461,1756.0,inf,37,2051.0,663.6751885085198,3378.3503770170396,723.6496229829604,0
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1.0,2017-06-01 10:18:49.461,1996.0,triangle,38,2051.0,663.6751885085198,3378.3503770170396,723.6496229829604,0
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1.0,2017-06-01 10:18:49.461,1368.0,mult,39,2051.0,663.6751885085198,3378.3503770170396,723.6496229829604,0
